idx,global:num_epochs,global:patience,global:batch_size,global:final_fc_hidden_units,global:learning_rate,global:weight_decay,OCCP:type,OCCP:ngram_range:words,OCCP:ngram_range:chars,OCCP:max_tokens,OCCP:tokens,RELP:type,RELP:ngram_range:words,RELP:ngram_range:chars,RELP:max_tokens,RELP:tokens,SEX:type,SEX:ngram_range:words,SEX:ngram_range:chars,SEX:max_tokens,SEX:tokens,COW:type,COW:ngram_range:words,COW:ngram_range:chars,COW:max_tokens,COW:tokens,MAR:type,MAR:ngram_range:words,MAR:ngram_range:chars,MAR:max_tokens,MAR:tokens,RAC1P:type,RAC1P:ngram_range:words,RAC1P:ngram_range:chars,RAC1P:max_tokens,RAC1P:tokens,POBP:type,POBP:ngram_range:words,POBP:ngram_range:chars,POBP:max_tokens,POBP:tokens,WKHP:type,WKHP:normalize,WKHP:numeric_latent_dim,WKHP:numeric_hidden_layers,AGEP:type,AGEP:normalize,AGEP:numeric_latent_dim,AGEP:numeric_hidden_layers,f1_micro,f1_macro,f1_weighted,f1_weighted_train,precision_weighted,precision_weighted_train,recall_weighted,recall_weighted_train,coverage_at_90,coverage_at_90_train,empirical_precision_at_90,ece_pre_calibration,ece_post_calibration,time [min]
0,1,5,16,[50],0.004,0,string,"(1, 3)","(1, 5)",262144,['words'],string,"(1, 3)","(1, 5)",262144,['words'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",262144,['words'],string,"(1, 3)","(1, 5)",262144,['words'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",262144,['chars'],numeric,True,10,1,numeric,True,10,1,0.2129032258064516,0.0471473866635157,0.14135677884377154,0.2727692934475121,0.14135677884377154,0.2727692934475121,0.2129032258064516,0.3762057877813505,0.0,0.0,,0.034226378413938705,0.034226378413938705,3.0621996919314065
1,1,5,16,[10],0.004,0,string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",32768,['words'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",262144,['words'],numeric,True,10,1,numeric,True,10,1,0.23870967741935487,0.045857173129900404,0.1424768779607489,0.2246667114679421,0.1424768779607489,0.2246667114679421,0.23870967741935484,0.3215434083601286,0.0,0.0,,0.05295354531657311,0.05295354531657311,0.7153373678525289
2,1,5,16,[10],0.004,0,string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",32768,['words'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",32768,['words'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",32768,['chars'],numeric,True,10,1,numeric,True,10,1,0.22580645161290322,0.04351073762838468,0.13465257070570164,0.20628453429250077,0.13465257070570164,0.20628453429250077,0.22580645161290322,0.3102893890675241,0.0,0.0,,0.02556597551991862,0.02556597551991862,0.2636160612106323
3,1,5,16,[100],0.004,0,string,"(1, 3)","(1, 5)",262144,['words'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",4096,['words'],numeric,True,10,1,numeric,True,10,1,0.2129032258064516,0.04554720999165444,0.1387559632720923,0.2647504644909368,0.1387559632720923,0.2647504644909368,0.2129032258064516,0.37138263665594856,0.0,0.0,,0.09224291905280081,0.09224291905280081,0.6067719141642253
4,1,5,16,[50],0.004,0,string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",4096,['chars'],numeric,True,10,1,numeric,True,10,1,0.2709677419354839,0.06275479888925267,0.18628636205215224,0.25018519090095376,0.18628636205215224,0.25018519090095376,0.2709677419354839,0.3504823151125402,0.0,0.0,,0.04666404993303361,0.04666404993303361,0.14880624612172444
5,1,5,16,[50],0.004,0,string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",32768,['words'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",262144,['chars'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",262144,['words'],string,"(1, 3)","(1, 5)",4096,['chars'],numeric,True,10,1,numeric,True,10,1,0.21935483870967745,0.05335473515248797,0.15638171180034174,0.26080958557240114,0.15638171180034174,0.26080958557240114,0.21935483870967742,0.36012861736334406,0.0,0.0,,0.06950373034323415,0.06950373034323415,1.3024558424949646
6,1,5,16,[10],0.004,0,string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",32768,['words'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",32768,['chars'],numeric,True,10,1,numeric,True,10,1,0.21935483870967745,0.04183964183964184,0.12993028476899443,0.22936930891467447,0.12993028476899443,0.22936930891467447,0.21935483870967742,0.3295819935691318,0.0,0.0,,0.01845602085513453,0.01845602085513453,0.21170958280563354
7,1,5,16,[100],0.004,0,string,"(1, 3)","(1, 5)",262144,['words'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",262144,['chars'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",262144,['words'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",4096,['chars'],numeric,True,10,1,numeric,True,10,1,0.21935483870967745,0.04599258020750649,0.13970170102438462,0.2799350524606453,0.13970170102438462,0.2799350524606453,0.21935483870967742,0.39389067524115756,0.0,0.0,,0.06244445539289905,0.06244445539289905,1.873556919892629
8,1,5,16,[10],0.004,0,string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",262144,['chars'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",4096,['chars'],string,"(1, 3)","(1, 5)",32768,['words'],string,"(1, 3)","(1, 5)",262144,['words'],numeric,True,10,1,numeric,True,10,1,0.23225806451612904,0.050167660078775836,0.15116291621268801,0.2348784533052613,0.15116291621268801,0.2348784533052613,0.23225806451612904,0.32636655948553056,0.0,0.0,,0.02419451965439704,0.02419451965439704,1.417045485973358
9,1,5,16,[50],0.004,0,string,"(1, 3)","(1, 5)",262144,['chars'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",4096,['words'],string,"(1, 3)","(1, 5)",32768,['chars'],string,"(1, 3)","(1, 5)",32768,['words'],string,"(1, 3)","(1, 5)",262144,['chars'],string,"(1, 3)","(1, 5)",32768,['words'],numeric,True,10,1,numeric,True,10,1,0.21935483870967745,0.044630293375813083,0.13489806143292093,0.25560601236884023,0.13489806143292093,0.25560601236884023,0.21935483870967742,0.3633440514469453,0.0,0.0,,0.04648674120826107,0.04648674120826107,1.3616503874460857